Table S5 | Statistical hypothesis testing calculation results    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data type,Species number,Dataset name,method,I_val,E_val,rep,n_samples,pp_Porifera,pp_Ctenophora,pp_Cnidaria,pp_Xenacoelomorpha,pp_Hemichordata,pp_Echinodermata,pp_Lophotrochozoa,pp_Ecdysozoa,pp_metazoans,pp_metazoans_ingroup,pp_Ctenophora_Sister,pp_Porifera_Sister,pp_Deuterostome,pp_Nephrozoa,pp_Xenambulacraria,bf_Porifera,bf_Xenacoelomorpha,bf_Deutorostome,bf_Porifera>5,bf_Porifera<-5,bf_Xenacoelomorpha>5,bf_Xenacoelomorpha<-5,bf_Deutorostome>5,bf_Deutorostome<-5,
Gene content,41,Xen,Homogroups,1.5,1.00E-02,1,70001,1,1,1,1,1,1,0.002247576,1,1,0.8567075,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-02,2,70001,1,1,1,1,1,1,0.001809489,1,1,0.8553932,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-02,3,70001,1,1,1,1,1,1,7.62E-05,1,1,0.8534123,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-02,4,70001,1,1,1,1,1,1,7.62E-05,1,1,0.8534123,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-05,1,70001,1,1,1,1,1,1,0.006171311,1,1,0.9672387,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-05,2,70001,1,1,1,1,1,1,0,1,1,0.959696,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-05,3,70001,1,1,1,1,1,1,0.0002285671,1,1,0.9659816,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-05,4,70001,1,1,1,1,1,1,0.007733186,1,1,0.9696768,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-09,1,70001,1,1,1,1,1,1,0.9602103,1,1,0.9890097,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-09,2,70001,1,1,1,1,1,1,0.9635055,1,1,0.9897335,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-09,3,70001,1,1,1,1,1,1,0.9635055,1,1,0.9897335,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-09,4,70001,1,1,1,1,1,1,0.9820765,1,1,0.9883431,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-12,1,70001,1,1,1,1,1,1,0.005390374,1,1,0.9940763,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-12,2,70001,1,1,1,1,1,1,0.01179025,1,1,0.9951049,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-12,3,70001,1,1,1,1,1,1,0.01159978,1,1,0.993162,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,1.5,1.00E-12,4,70001,1,1,1,1,1,1,0.02649473,1,1,0.9932954,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-02,1,70001,1,1,1,1,1,1,0,1,1,0.0001142835,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-02,2,70001,1,1,1,1,1,1,3.81E-05,1,1,0.0001714253,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-02,3,70001,1,1,1,1,1,1,3.81E-05,1,1,0.0001714253,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-02,4,70001,1,1,1,1,1,1,0.01356165,1,1,1.90E-05,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-05,1,70001,1,1,1,1,1,1,0,1,1,0.007161768,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-05,2,70001,1,1,1,1,1,1,0,1,1,0.007180816,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-05,3,70001,1,1,1,1,1,1,0,1,1,0.006780823,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-05,4,70001,1,1,1,1,1,1,0,1,1,0.007866517,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-09,1,70001,1,1,1,1,1,1,1,1,1,0.2575951,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-09,2,70001,1,1,1,1,1,1,0.9953334,1,1,0.2360526,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-09,3,70001,1,1,1,1,1,1,0.9953334,1,1,0.2360526,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-09,4,70001,1,1,1,1,1,1,0.9999238,1,1,0.2687758,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,0.0007047485,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-12,2,70001,1,1,1,1,1,1,1,1,1,0.000895221,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-12,3,70001,1,1,1,1,1,1,1,1,1,0.0002095198,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.0,1.00E-12,4,70001,1,1,1,1,1,1,1,1,1,0.0002666616,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-02,1,100001,1,1,1,1,1,1,0,1,1,0.0001199984,0,1,1,1,0,11.51292546,11.51292546,11.51292546,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-02,2,100001,1,1,1,1,1,1,0,1,1,0.0001199984,0,1,1,1,0,11.51292546,11.51292546,11.51292546,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-02,3,100001,1,1,1,1,1,1,0.0001333316,1,1,8.00E-05,0,1,1,1,0,11.51292546,11.51292546,11.51292546,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-02,4,100001,1,1,1,1,1,1,0,1,1,1.33E-05,0,1,1,1,0,11.51292546,11.51292546,11.51292546,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-05,1,70001,1,1,1,1,1,1,0,1,1,0.001904726,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-05,2,70001,1,1,1,1,1,1,0,1,1,0.001276166,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-05,3,70001,1,1,1,1,1,1,0,1,1,0.001885678,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-05,4,70001,1,1,1,1,1,1,0,1,1,0.00118093,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-09,1,70001,1,1,1,1,1,1,0.9909716,1,1,0,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-09,2,70001,1,1,1,1,1,1,0.9856193,1,1,1.90E-05,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-09,3,70001,1,1,1,1,1,1,0.9856193,1,1,1.90E-05,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-09,4,70001,1,1,1,1,1,1,0.9644007,1,1,0,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-12,1,70001,1,1,1,1,1,1,0.03516124,1,1,0.0001142835,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-12,2,70001,1,1,1,1,1,1,0.04152302,1,1,0.0001142835,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-12,3,70001,1,1,1,1,1,1,0.007104627,1,1,1.90E-05,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,2.5,1.00E-12,4,70001,1,1,1,1,1,1,0.007104627,1,1,1.90E-05,0,1,1,1,0,11.15625052,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-02,1,70001,1,1,1,1,1,1,5.71E-05,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-02,2,70001,1,1,1,1,1,1,0.0009333156,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-02,3,70001,1,1,1,1,1,1,0.02700901,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-02,4,70001,1,1,1,1,1,1,0.002171387,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-05,1,70001,1,1,1,1,1,1,0.1338641,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-05,2,70001,1,1,1,1,1,1,0.4668863,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-05,3,70001,1,1,1,1,1,1,0.5266947,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-05,4,70001,1,1,1,1,1,1,0.4318584,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-09,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-09,2,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-09,3,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-09,4,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
Gene content,41,Xen,Homogroups,4.0,1.00E-12,1,70001,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,11.15625052,11.15625052,,,0,1,0,,
